,experiment,node_id,label,label_2,loss,count,std,mean,var,hop,min,max,outliers,window
180,rnd__2019-05-01_01:07_,aaaa::212:7408:8:808,Normal,Normal,75.0,25,1478.2358652574133,1670.24,2185181.273333333,2,445,7519,2,100
181,rnd__2019-05-01_01:07_,aaaa::212:7405:5:505,Normal,Normal,82.0,18,1279.3920431204815,2361.6666666666665,1636844.0,2,600,7148,0,100
182,rnd__2019-05-01_01:07_,aaaa::212:740a:a:a0a,Normal,Normal,92.0,8,775.6276260459747,2289.25,601598.2142857143,2,460,5075,0,100
183,rnd__2019-05-01_01:07_,aaaa::212:7404:4:404,Normal,Normal,68.0,32,1688.426199825762,1463.25,2850783.0322580645,2,401,9943,1,100
184,rnd__2019-05-01_01:07_,aaaa::212:7402:2:202,Normal,Normal,84.0,16,796.1546646223961,2403.875,633862.25,2,652,4950,1,100
185,rnd__2019-05-01_01:07_,aaaa::212:7407:7:707,Normal,Normal,52.0,48,716.9423203997248,719.5833333333334,514006.2907801418,1,140,4390,3,100
186,rnd__2019-05-01_01:07_,aaaa::212:7403:3:303,Normal,Normal,98.0,2,383.2518754031088,3736.0,146882.0,3,1640,9086,0,100
187,rnd__2019-05-01_01:07_,aaaa::212:7409:9:909,Normal,Normal,82.0,18,990.2713119351838,1150.2777777777778,980637.2712418302,1,280,4653,1,100
188,rnd__2019-05-01_01:07_,aaaa::212:7406:6:606,Normal,Normal,79.0,21,1163.7139069130596,2553.5714285714284,1354230.057142857,2,499,7977,1,100
189,rnd__2019-05-01_13:41_,aaaa::212:7406:6:606,Normal,Normal,70.0,60,2714.253420881764,2503.8333333333335,7367171.632768359,2,321,10130,5,200
190,rnd__2019-05-01_13:41_,aaaa::212:7403:3:303,Normal,Normal,83.5,33,1468.4013415956824,1083.0,2156202.5,1,119,5930,2,200
191,rnd__2019-05-01_13:41_,aaaa::212:7407:7:707,Normal,Normal,90.5,19,3312.3981718873724,4092.2631578947367,10971981.649122806,3,728,12960,1,200
192,rnd__2019-05-01_13:41_,aaaa::212:7409:9:909,Normal,Normal,90.5,19,2462.33132292542,2734.8947368421054,6063075.543859649,3,636,11190,1,200
193,rnd__2019-05-01_13:41_,aaaa::212:7408:8:808,Normal,Normal,87.5,25,3013.7210261292157,2620.56,9082514.423333334,4,667,14670,1,200
194,rnd__2019-05-01_13:41_,aaaa::212:7405:5:505,Normal,Normal,81.5,37,1439.2082235767036,2320.5405405405404,2071320.3108108107,3,467,6286,1,200
195,rnd__2019-05-01_13:41_,aaaa::212:7402:2:202,Normal,Normal,88.0,24,4003.454323447132,3546.5416666666665,16027646.519927535,2,289,17980,1,200
196,rnd__2019-05-01_13:41_,aaaa::212:7404:4:404,Normal,Normal,78.5,43,2932.57658547545,2929.6279069767443,8600005.429678848,2,300,13805,3,200
197,rnd__2019-05-01_13:41_,aaaa::212:740a:a:a0a,Normal,Normal,87.0,26,2583.044220712036,3281.6153846153848,6672117.446153848,4,999,9732,3,200
